"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"","","","","Quiz","30224R","001","6:00-7:50pm","Friday","300","134","0","","TBA"
"CSCI-310","Software Engineering","P","4.0 units","Lecture","29967D","001","10:00-11:50am","Mon, Wed","225","220","0","William Halfond","SAL101"
"CSCI-350","Introduction to Operating Systems","P","4.0 units","Lecture","29993D","001","12:00-3:20pm","Friday","200","165","0","Tanya Ryutov","SAL101"
"","","","","Quiz","29965R","001","TBA","","200","165","0","","OFFICE"
"CSCI-353","Introduction to Internetworking","P","4.0 units","Lecture","30050D","001","12:00-1:50pm","Mon, Wed","130","124","0","William Cheng","THH102"
"","","","","Discussion","30051R","001","11:00-11:50am","Friday","130","124","0","","THH202"
"CSCI-356","Introduction to Computer Systems","P","4.0 units","Lecture","30160D","001","3:30-4:50pm","Tue, Thu","100","96","0","Marco Paolieri","THH201"
"","","","","Lecture","30234D","001","2:00-3:20pm","Tue, Thu","100","59","0","Andrew Goodney","MHP101"
"","","","","Discussion","30171R","001","10:00-11:50am","Friday","100","60","0","","MHP101"
"","","","","Discussion","30173R","001","2:00-3:50pm","Friday","100","95","0","","GFS106"
"","","","","Quiz","30391R","001","4:00-5:50pm","Friday","200","155","0","","TBA"
"CSCI-360","Introduction to Artificial Intelligence","P","4.0 units","Lecture","30304D","001","12:00-1:50pm","Mon, Wed","270","243","0","Mohammad Reza Rajati","THH201"
"","","","","Quiz","30280R","001","TBA","","270","243","0","","OFFICE"
"CSCI-368","Cross-Platform App Development","P","4.0 units","Lecture","31851D","001","6:00-9:40pm","Tuesday","60","57","0","Allen Almasi","KAP160"
"CSCI-380","Video Game Programming","P","4.0 units","Lecture-Lab","31902D","001","7:00-8:50pm","Tue, Thu","36","31","0","Clark Kromenaker","OHE540"
"","","","","Lecture-Lab","31908D","001","10:00-11:50am","Tue, Thu","36","26","0","Matthew Whiting","OHE540"
"","","","","Lecture-Lab","31909D","001","2:00-3:50pm","Tue, Thu","36","32","0","Sanjay Madhav","OHE540"
"CSCI-401","Capstone: Design and Construction of Large Software Systems","P","4.0 units, max 8","Lecture","29963D","001","8:00-9:50am","Mon, Wed","173","173","0","Victor Adamchik","HAR101"
"","","","","Lecture","30228D","001","5:00-8:20pm","Tuesday","51","51","0","Victor Adamchik","ZHS159"
"CSCI-402","Operating Systems","","4.0 units","Lecture","29945D","001","10:00-11:20am","Mon, Wed","60","58","0","William Cheng","OHE136"
"","","","","Discussion","30357R","001","10:00-10:50am","Friday","60","58","0","","OHE136"
"","","","","Lecture","30331D","001","9:30-10:50am","Tue, Thu","90","59","0","William Cheng","WPHB27"
"","","","","Discussion","30360R","001","1:00-1:50pm","Friday","90","59","0","","SLH102"
"","","","","Lecture","29946D","014","10:00-11:20am","Mon, Wed","30","13","0","William Cheng","DEN@Viterbi"
"","","","","Discussion","30356R","014","10:00-10:50am","Friday","30","13","0","","DEN@Viterbi"
