"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"EE-455x","Introduction to Programming Systems Design","","4.0 units","Lecture","30327D","001","10:00-11:20am","Tue, Thu","120","56","0","Claire Bono","OHE122"
"","","","","Lab","30029R","001","1:00-2:50pm","Thursday","31","29","0","","SAL109"
"","","","","Lab","30329R","001","3:00-4:50pm","Thursday","30","27","0","","SAL126"
"","","","","Lecture","29934D","014","10:00-11:20am","Tue, Thu","30","16","0","Claire Bono","DEN@Viterbi"
"","","","","Lab","30023R","014","TBA","","30","16","0","","DEN@Viterbi"
"EE-457","Computer Systems Organization","P","4.0 units","Lecture","30478D","001","2:00-3:50pm","Mon, Wed","50","38","0","Gandhi Puvvada","OHE230"
"","","","","Lecture","30591D","001","4:00-5:50pm","Tue, Thu","56","50","0","Gandhi Puvvada","OHE100D"
"","","","","Lecture","30595D","014","4:00-5:50pm","Tue, Thu","20","3","0","Gandhi Puvvada","DEN@Viterbi"
"","","","","Discussion","30497R","001","2:00-2:50pm","Friday","50","39","0","","THH114"
"","","","","Discussion","30593R","001","12:00-12:50pm","Friday","56","49","0","","OHE122"
"","","","","Discussion","30594D","014","12:00-12:50pm","Friday","20","3","0","","DEN@Viterbi"
"","","","","Quiz","30997R","001","5:00-7:50pm","Friday","120","91","0","",""
"EE-459Lx","Embedded Systems Design Laboratory","PC","4.0 units","Lecture-Lab","30572R","001","10:00-11:50am","Tue, Thu","45","43","0","Allan Weber","KAP158"
"","","","","Lecture-Lab","30598R","001","2:00-3:50pm","Tue, Thu","30","15","0","Allan Weber","VHE206"
"EE-460","Machine Learning for Engineers","P","4.0 units","Lecture","31194D","001","4:00-5:50pm","Mon, Wed","25","9","0","Antonio Ortega","DMC157"
"","","","","Discussion","31233R","001","2:00-3:50pm","Friday","25","9","0","","GFS104"
"EE-467","Introduction to Communication Systems","P","3.0 units","Lecture","30589D","001","10:00-11:50am","Mon, Wed","32","8","0","Alan Willner","WPH205"
"EE-477L","MOS VLSI Circuit Design","P","4.0 units","Lecture","30617D","014","2:00-3:50pm","Mon, Wed","20","4","0","Massoud Pedram","DEN@Viterbi"
"","","","","Lab","30618D","014","1:00-2:50pm","Friday","20","4","0","Massoud Pedram","DEN@Viterbi"
"","","","","Lecture","30612R","001","2:00-3:50pm","Mon, Wed","76","52","0","Massoud Pedram","OHE136"
"","","","","Lab","30613R","001","1:00-2:50pm","Friday","38","21","0","Massoud Pedram","OHE100C"
"","","","","Lab","30614R","001","6:30-8:20pm","Tuesday","39","31","0","Massoud Pedram","VHE217"
"EE-481l","Control Systems Laboratory","P","3.0 units","Lecture","28819D","001","9:30-10:50am","Tuesday","30","17","0","Inna Abramova","THH106"
"","","","","Lab","28820R","001","1:00-5:50pm","Wednesday","30","17","0","Inna Abramova","BHE310"
"EE-483","Introduction to Digital Signal Processing","P","4.0 units","Lecture","30620R","001","12:00-1:50pm","Mon, Wed","76","37","0","Eduardo Pavez Carvelli","OHE136"
"","","","","Lecture","30623D","014","12:00-1:50pm","Mon, Wed","20","3","0","Eduardo Pavez Carvelli","DEN@Viterbi"
"","","","","Discussion","30622R","001","4:00-4:50pm","Friday","76","37","0","","OHE122"
"","","","","Discussion","30625D","014","4:00-4:50pm","Friday","20","3","0","","DEN@Viterbi"
"EE-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","30624D","001","TBA","","50","5","0","Bhaskar Krishnamachari Michelle Povinelli","OFFICE"
